File Weighted_Fst
Fst_SC_LF.log 0.00082977
Fst_SC_LL.log 0.0030567
Fst_SC_MS.log 0.0041917
Fst_SC_NF.log 0.0017284
Fst_SC_OC.log 0.0038671
Fst_SC_SP.log 0.00054471
Fst_SC_WY.log 0.0025042
Fst_SP_BG.log 0.0021741
Fst_SP_CR.log 0.0020988
Fst_SP_DL.log 0.0025515
Fst_SP_FV.log 0.00086422
Fst_SP_HM.log 0.0021944
Fst_SP_HT.log 0.00083336
Fst_SP_KP.log 0.0027435
Fst_SP_LF.log -0.00031194
Fst_SP_LL.log 0.0015389
Fst_SP_MS.log 0.0028092
Fst_SP_NF.log 0.0004471
Fst_SP_OC.log 0.0023917
Fst_SP_SC.log 0.00054471
Fst_SP_WY.log 0.0010576
Fst_WY_BG.log 0.00027304
Fst_WY_CR.log 0.00030186
Fst_WY_DL.log 0.00014457
Fst_WY_FV.log 0.0042344
Fst_WY_HM.log 6.3985e-05
Fst_WY_HT.log 0.0043806
Fst_WY_KP.log 0.0003986
Fst_WY_LF.log 0.0012177
Fst_WY_LL.log 8.3693e-05
Fst_WY_MS.log 0.00072785
Fst_WY_NF.log -0.00011611
Fst_WY_OC.log 0.00014504
Fst_WY_SC.log 0.0025042
Fst_WY_SP.log 0.0010576
